epoch,deltamadrs_mae,loss,madrs2_mae,val_deltamadrs_mae,val_loss,val_madrs2_mae
1,0.06945950537919998,0.7862905859947205,0.08837004750967026,0.008153323084115982,9.873122326098382e-05,0.004221594892442226
2,0.01412807684391737,0.0009465370676480234,0.014470326714217663,0.0441567525267601,0.002022717846557498,0.004773444961756468
3,0.012226560153067112,0.0008216457790695131,0.012602460570633411,0.014370085671544075,0.0006631080177612603,0.01963174343109131
4,0.011714532040059566,0.0007121682283468544,0.012296793051064014,0.056127406656742096,0.007376424502581358,0.06179921329021454
5,0.010449851863086224,0.0006852161604911089,0.011370692402124405,0.0043860916048288345,0.0003952308907173574,0.018601136282086372
6,0.00980228278785944,0.0006433387752622366,0.010267763398587704,0.01618560217320919,0.00028911922709085047,0.0025570422876626253
7,0.00891291443258524,0.0006101734470576048,0.010278762318193913,0.00037037598667666316,2.839125841092027e-07,0.00020614947425201535
8,0.00860029086470604,0.000556575192604214,0.010159733705222607,0.013838755898177624,0.0002795300097204745,0.005817199591547251
9,0.0077427346259355545,0.0005505055887624621,0.009116779081523418,0.0009395258384756744,3.202233710908331e-05,0.005367907229810953
10,0.008062533102929592,0.0005201501771807671,0.009543818421661854,0.002320608589798212,1.1367202205292415e-05,0.0014464008854702115
11,0.007264772895723581,0.00048043494462035596,0.009172151796519756,0.015876037999987602,0.00046653987374156713,0.012233308516442776
12,0.006672922521829605,0.00047560868551954627,0.00936881359666586,0.008609307929873466,0.0004752815293613821,0.01916484907269478
13,0.0067219906486570835,0.0004442492499947548,0.008433490991592407,0.00893295370042324,0.00019271222117822617,0.009093684144318104
14,0.0068303984589874744,0.0004495451576076448,0.008597472682595253,0.0014151167124509811,2.3221680294227554e-06,0.000329063565004617
15,0.006437561009079218,0.00038371433038264513,0.008711162023246288,0.0006205055979080498,2.7545422199182212e-05,0.0050138672813773155
16,0.006171440239995718,0.000426338316174224,0.007980752736330032,0.0005930305924266577,1.6259180029010167e-06,0.0010812153341248631
17,0.0062948716804385185,0.0003761207917705178,0.008730119094252586,0.000769379606936127,7.755861020086741e-07,0.0003125477524008602
