loss,val_loss,epoch
5.876427173614502,0.17459861934185028,1
2.8506340980529785,0.09916386753320694,2
1.9797357320785522,0.07966312766075134,3
1.518913984298706,0.11677236109972,4
1.2896082401275635,0.27161115407943726,5
1.1806775331497192,0.14823593199253082,6
1.152640700340271,0.07157064974308014,7
1.1317615509033203,0.12738263607025146,8
1.1259621381759644,0.04138287156820297,9
1.120906949043274,0.04137943685054779,10
1.1214797496795654,0.09056895226240158,11
1.1158243417739868,0.12140344828367233,12
1.1160253286361694,0.16755260527133942,13
1.1180018186569214,0.13693183660507202,14
1.1210694313049316,0.19266894459724426,15
